Index,ExpirationDate,CallsLastPrice,CallsChange,CallsChangePct,CallsVolume,CallsOI,Strike,PutsLastPrice,PutsChange,PutsChangePct,PutsVolume,PutsOI,last_price_link,change_link,change_link,volume_link,open_interest_link,strike_link,last_price_link,change_link,change_link,volume_link,open_interest_link
0,2016-10-21,-,-,-,-,-,185.00,0.01,0.00,0.00%,500,"7,383",,,,,,/quote/SPY/options?strike=185&straddle=true,,,,,
1,2016-10-21,28.80,0.00,0.00%,2,4,186.00,0.01,0.00,0.00%,890,890,,,,,,/quote/SPY/options?strike=186&straddle=true,,,,,
2,2016-10-21,27.05,0.00,0.00%,1,1,187.00,0.01,0.00,0.00%,315,321,,,,,,/quote/SPY/options?strike=187&straddle=true,,,,,
3,2016-10-21,-,-,-,-,-,188.00,0.01,0.00,0.00%,"3,160","3,160",,,,,,/quote/SPY/options?strike=188&straddle=true,,,,,
4,2016-10-21,-,-,-,-,-,189.00,0.01,0.00,0.00%,1,"2,691",,,,,,/quote/SPY/options?strike=189&straddle=true,,,,,
5,2016-10-21,23.45,0.00,0.00%,3,160,190.00,0.01,0.00,0.00%,20,"4,958",,,,,,/quote/SPY/options?strike=190&straddle=true,,,,,
6,2016-10-21,-,-,-,-,-,191.00,0.01,0.00,0.00%,"2,736",634,,,,,,/quote/SPY/options?strike=191&straddle=true,,,,,
7,2016-10-21,23.83,0.00,0.00%,5,5,192.00,0.01,0.00,0.00%,581,"5,328",,,,,,/quote/SPY/options?strike=192&straddle=true,,,,,
8,2016-10-21,-,-,-,-,-,193.00,0.01,0.00,0.00%,556,"6,144",,,,,,/quote/SPY/options?strike=193&straddle=true,,,,,
9,2016-10-21,-,-,-,-,-,194.00,0.01,0.00,0.00%,5,"1,041",,,,,,/quote/SPY/options?strike=194&straddle=true,,,,,
10,2016-10-21,20.76,-0.14,-0.67%,4,7,195.00,0.01,0.00,0.00%,12,"11,098",,,,,,/quote/SPY/options?strike=195&straddle=true,,,,,
11,2016-10-21,19.99,0.00,0.00%,20,20,196.00,0.01,-0.01,-50.00%,"4,488","4,766",,,,,,/quote/SPY/options?strike=196&straddle=true,,,,,
12,2016-10-21,-,-,-,-,-,196.50,0.01,-0.01,-50.00%,4,"4,301",,,,,,/quote/SPY/options?strike=196.5&straddle=true,,,,,
13,2016-10-21,-,-,-,-,-,197.00,0.01,-0.01,-50.00%,4,"5,924",,,,,,/quote/SPY/options?strike=197&straddle=true,,,,,
14,2016-10-21,16.56,0.00,0.00%,29,29,197.50,0.01,0.00,0.00%,427,"5,583",,,,,,/quote/SPY/options?strike=197.5&straddle=true,,,,,
15,2016-10-21,15.79,-1.31,-7.66%,1,62,198.00,0.01,-0.01,-50.00%,"2,204","3,453",,,,,,/quote/SPY/options?strike=198&straddle=true,,,,,
16,2016-10-21,16.21,0.00,0.00%,16,16,198.50,0.01,-0.01,-50.00%,15,"4,526",,,,,,/quote/SPY/options?strike=198.5&straddle=true,,,,,
17,2016-10-21,17.17,0.00,0.00%,10,10,199.00,0.01,-0.01,-50.00%,14,"3,272",,,,,,/quote/SPY/options?strike=199&straddle=true,,,,,
18,2016-10-21,15.16,0.00,0.00%,32,111,199.50,0.01,-0.01,-50.00%,10,"4,161",,,,,,/quote/SPY/options?strike=199.5&straddle=true,,,,,
19,2016-10-21,13.79,0.24,1.77%,4,20,200.00,0.01,0.00,0.00%,474,"38,565",,,,,,/quote/SPY/options?strike=200&straddle=true,,,,,
20,2016-10-21,-,-,-,-,-,200.50,0.01,-0.01,-50.00%,10,813,,,,,,/quote/SPY/options?strike=200.5&straddle=true,,,,,
21,2016-10-21,-,-,-,-,-,201.00,0.01,-0.01,-50.00%,14,"2,684",,,,,,/quote/SPY/options?strike=201&straddle=true,,,,,
22,2016-10-21,-,-,-,-,-,201.50,0.01,-0.01,-50.00%,4,"1,432",,,,,,/quote/SPY/options?strike=201.5&straddle=true,,,,,
23,2016-10-21,13.33,0.00,0.00%,3,0,202.00,0.01,-0.02,-66.67%,20,788,,,,,,/quote/SPY/options?strike=202&straddle=true,,,,,
24,2016-10-21,12.63,0.00,0.00%,10,133,202.50,0.01,-0.01,-50.00%,85,"13,611",,,,,,/quote/SPY/options?strike=202.5&straddle=true,,,,,
25,2016-10-21,12.29,0.00,0.00%,2,102,203.00,0.01,-0.01,-50.00%,104,"7,289",,,,,,/quote/SPY/options?strike=203&straddle=true,,,,,
26,2016-10-21,-,-,-,-,-,203.50,0.02,-0.02,-50.00%,"4,000","1,742",,,,,,/quote/SPY/options?strike=203.5&straddle=true,,,,,
27,2016-10-21,9.55,-1.24,-11.49%,40,148,204.00,0.01,-0.02,-66.67%,20,"5,202",,,,,,/quote/SPY/options?strike=204&straddle=true,,,,,
28,2016-10-21,-,-,-,-,-,204.50,0.03,0.00,0.00%,301,649,,,,,,/quote/SPY/options?strike=204.5&straddle=true,,,,,
29,2016-10-21,8.24,-0.33,-3.85%,10,963,205.00,0.02,-0.01,-33.33%,18,"109,285",,,,,,/quote/SPY/options?strike=205&straddle=true,,,,,
30,2016-10-21,9.86,0.00,0.00%,10,10,205.50,0.02,-0.02,-50.00%,42,"3,195",,,,,,/quote/SPY/options?strike=205.5&straddle=true,,,,,
31,2016-10-21,6.81,0.00,0.00%,23,447,206.00,0.02,-0.02,-50.00%,270,"6,257",,,,,,/quote/SPY/options?strike=206&straddle=true,,,,,
32,2016-10-21,6.31,0.00,0.00%,10,167,206.50,0.02,-0.03,-60.00%,231,"4,994",,,,,,/quote/SPY/options?strike=206.5&straddle=true,,,,,
33,2016-10-21,6.81,0.71,11.64%,27,275,207.00,0.03,-0.03,-50.00%,"1,045","26,027",,,,,,/quote/SPY/options?strike=207&straddle=true,,,,,
34,2016-10-21,6.32,0.92,17.04%,91,663,207.50,0.02,-0.05,-71.43%,"1,050","16,435",,,,,,/quote/SPY/options?strike=207.5&straddle=true,,,,,
35,2016-10-21,5.72,0.17,3.06%,129,295,208.00,0.03,-0.04,-57.14%,"5,870","16,665",,,,,,/quote/SPY/options?strike=208&straddle=true,,,,,
36,2016-10-21,5.11,-0.88,-14.69%,45,61,208.50,0.04,-0.08,-66.67%,776,"7,535",,,,,,/quote/SPY/options?strike=208.5&straddle=true,,,,,
37,2016-10-21,4.96,0.41,9.01%,357,312,209.00,0.06,-0.06,-50.00%,"5,154","16,412",,,,,,/quote/SPY/options?strike=209&straddle=true,,,,,
38,2016-10-21,4.52,0.27,6.35%,79,183,209.50,0.08,-0.07,-46.67%,"1,671","6,738",,,,,,/quote/SPY/options?strike=209.5&straddle=true,,,,,
39,2016-10-21,3.95,-0.05,-1.25%,"1,687","1,556",210.00,0.11,-0.08,-42.11%,"8,242","34,754",,,,,,/quote/SPY/options?strike=210&straddle=true,,,,,
40,2016-10-21,3.37,0.07,2.12%,344,"1,733",210.50,0.14,-0.10,-41.67%,"3,465","9,902",,,,,,/quote/SPY/options?strike=210.5&straddle=true,,,,,
41,2016-10-21,2.90,-0.15,-4.92%,"1,881","2,665",211.00,0.20,-0.11,-35.48%,"11,103","16,524",,,,,,/quote/SPY/options?strike=211&straddle=true,,,,,
42,2016-10-21,2.55,-0.15,-5.56%,"1,774","3,485",211.50,0.25,-0.15,-37.50%,"10,433","12,299",,,,,,/quote/SPY/options?strike=211.5&straddle=true,,,,,
43,2016-10-21,1.91,-0.39,-16.96%,"4,214","2,566",212.00,0.35,-0.18,-33.96%,"13,067","106,911",,,,,,/quote/SPY/options?strike=212&straddle=true,,,,,
44,2016-10-21,1.65,-0.31,-15.82%,"7,528","5,220",212.50,0.49,-0.14,-22.22%,"15,082","14,852",,,,,,/quote/SPY/options?strike=212.5&straddle=true,,,,,
45,2016-10-21,1.20,-0.41,-25.47%,"12,602","6,099",213.00,0.67,-0.12,-15.19%,"37,839","37,540",,,,,,/quote/SPY/options?strike=213&straddle=true,,,,,
46,2016-10-21,0.94,-0.35,-27.13%,"13,862","5,957",213.50,0.82,-0.14,-14.58%,"31,066","11,410",,,,,,/quote/SPY/options?strike=213.5&straddle=true,,,,,
47,2016-10-21,0.62,-0.40,-39.22%,"24,593","10,560",214.00,1.10,-0.07,-5.98%,"35,220","26,679",,,,,,/quote/SPY/options?strike=214&straddle=true,,,,,
48,2016-10-21,0.41,-0.35,-46.05%,"12,119","9,228",214.50,1.31,-0.14,-9.66%,"9,348","9,595",,,,,,/quote/SPY/options?strike=214.5&straddle=true,,,,,
49,2016-10-21,0.25,-0.29,-53.70%,"41,593","33,856",215.00,1.62,-0.11,-6.36%,"7,344","36,027",,,,,,/quote/SPY/options?strike=215&straddle=true,,,,,
50,2016-10-21,0.14,-0.22,-61.11%,"7,295","8,555",215.50,2.00,-0.10,-4.76%,"1,435","8,425",,,,,,/quote/SPY/options?strike=215.5&straddle=true,,,,,
51,2016-10-21,0.08,-0.16,-66.67%,"10,570","23,281",216.00,2.45,0.08,3.38%,"5,025","15,556",,,,,,/quote/SPY/options?strike=216&straddle=true,,,,,
52,2016-10-21,0.04,-0.11,-73.33%,"4,656","14,520",216.50,2.67,-0.48,-15.24%,157,"9,105",,,,,,/quote/SPY/options?strike=216.5&straddle=true,,,,,
53,2016-10-21,0.03,-0.07,-70.00%,"3,819","19,203",217.00,3.42,-0.14,-3.93%,"1,445","8,196",,,,,,/quote/SPY/options?strike=217&straddle=true,,,,,
54,2016-10-21,0.01,-0.05,-83.33%,993,"14,056",217.50,3.89,-0.38,-8.90%,109,"1,781",,,,,,/quote/SPY/options?strike=217.5&straddle=true,,,,,
55,2016-10-21,0.01,-0.03,-75.00%,"1,506","14,131",218.00,4.19,-0.39,-8.52%,"2,100","1,870",,,,,,/quote/SPY/options?strike=218&straddle=true,,,,,
56,2016-10-21,0.01,-0.02,-66.67%,445,"36,279",218.50,4.80,-0.90,-15.79%,1,774,,,,,,/quote/SPY/options?strike=218.5&straddle=true,,,,,
57,2016-10-21,0.02,0.00,0.00%,514,"19,500",219.00,5.06,-0.46,-8.33%,9,843,,,,,,/quote/SPY/options?strike=219&straddle=true,,,,,
58,2016-10-21,0.01,-0.01,-50.00%,241,"39,026",219.50,5.95,-0.13,-2.14%,1,923,,,,,,/quote/SPY/options?strike=219.5&straddle=true,,,,,
59,2016-10-21,0.01,0.00,0.00%,355,"15,617",220.00,6.35,0.25,4.10%,61,884,,,,,,/quote/SPY/options?strike=220&straddle=true,,,,,
60,2016-10-21,0.01,0.00,0.00%,16,"2,747",220.50,7.44,0.12,1.64%,1,372,,,,,,/quote/SPY/options?strike=220.5&straddle=true,,,,,
61,2016-10-21,0.02,0.01,100.00%,95,"8,637",221.00,7.45,0.00,0.00%,58,156,,,,,,/quote/SPY/options?strike=221&straddle=true,,,,,
62,2016-10-21,0.01,-0.01,-50.00%,"2,928","2,708",221.50,8.68,0.00,0.00%,1,10,,,,,,/quote/SPY/options?strike=221.5&straddle=true,,,,,
63,2016-10-21,0.01,0.00,0.00%,10,"9,535",222.00,9.24,0.00,0.00%,11,385,,,,,,/quote/SPY/options?strike=222&straddle=true,,,,,
64,2016-10-21,0.01,0.00,0.00%,106,"6,692",222.50,7.43,0.00,0.00%,10,15,,,,,,/quote/SPY/options?strike=222.5&straddle=true,,,,,
65,2016-10-21,0.01,0.00,0.00%,41,"3,372",223.00,6.55,-0.42,-6.03%,25,26,,,,,,/quote/SPY/options?strike=223&straddle=true,,,,,
66,2016-10-21,0.01,0.00,0.00%,1,"2,633",223.50,10.05,0.00,0.00%,2,5,,,,,,/quote/SPY/options?strike=223.5&straddle=true,,,,,
67,2016-10-21,0.01,0.00,0.00%,104,451,224.00,8.38,0.00,0.00%,10,7,,,,,,/quote/SPY/options?strike=224&straddle=true,,,,,
68,2016-10-21,0.02,0.00,0.00%,2,"1,694",224.50,7.37,0.00,0.00%,5,5,,,,,,/quote/SPY/options?strike=224.5&straddle=true,,,,,
69,2016-10-21,0.01,0.00,0.00%,5,"15,733",225.00,8.80,-1.40,-13.73%,480,35,,,,,,/quote/SPY/options?strike=225&straddle=true,,,,,
70,2016-10-21,0.01,-0.01,-50.00%,529,962,225.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=225.5&straddle=true,,,,,
71,2016-10-21,0.02,0.00,0.00%,8,"1,404",226.00,12.15,-0.09,-0.74%,21,45,,,,,,/quote/SPY/options?strike=226&straddle=true,,,,,
72,2016-10-21,0.01,-0.01,-50.00%,198,983,226.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=226.5&straddle=true,,,,,
73,2016-10-21,0.01,0.00,0.00%,2,188,227.00,13.79,4.33,45.77%,4,5,,,,,,/quote/SPY/options?strike=227&straddle=true,,,,,
74,2016-10-21,0.01,0.00,0.00%,3,4,227.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=227.5&straddle=true,,,,,
75,2016-10-21,0.02,0.01,100.00%,150,223,228.00,-,-,-,-,-,,,,,,/quote/SPY/options?strike=228&straddle=true,,,,,
76,2016-10-21,0.01,0.00,0.00%,41,41,228.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=228.5&straddle=true,,,,,
77,2016-10-21,0.01,0.00,0.00%,196,198,229.00,-,-,-,-,-,,,,,,/quote/SPY/options?strike=229&straddle=true,,,,,
78,2016-10-21,0.01,0.00,0.00%,93,160,230.00,15.68,-0.52,-3.21%,38,28,,,,,,/quote/SPY/options?strike=230&straddle=true,,,,,
79,2016-10-21,0.01,0.00,0.00%,23,0,232.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=232.5&straddle=true,,,,,
80,2016-10-21,0.01,0.00,0.00%,30,0,233.00,-,-,-,-,-,,,,,,/quote/SPY/options?strike=233&straddle=true,,,,,
81,2016-10-21,0.01,0.00,0.00%,75,0,235.00,21.24,0.00,0.00%,7,0,,,,,,/quote/SPY/options?strike=235&straddle=true,,,,,
82,2016-10-21,0.02,0.00,0.00%,1,1,237.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=237.5&straddle=true,,,,,
83,2016-10-21,0.01,0.00,0.00%,1,0,240.00,22.18,0.00,0.00%,10,5,,,,,,/quote/SPY/options?strike=240&straddle=true,,,,,
84,2016-10-21,0.02,0.00,0.00%,2,0,247.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=247.5&straddle=true,,,,,
85,2016-10-21,0.01,0.00,0.00%,1,0,252.50,-,-,-,-,-,,,,,,/quote/SPY/options?strike=252.5&straddle=true,,,,,
86,2016-10-21,-,-,-,-,-,260.00,44.78,0.00,0.00%,20,0,,,,,,/quote/SPY/options?strike=260&straddle=true,,,,,
87,2016-10-21,-,-,-,-,-,265.00,52.41,0.00,0.00%,10,10,,,,,,/quote/SPY/options?strike=265&straddle=true,,,,,
